  0.4106784E+03   -0.1243417E-02   -0.1243417E-02
  0.4105375E+03   -0.1144710E-02   -0.1144710E-02
  0.4101976E+03   -0.6763773E-03   -0.6763773E-03
  0.4097774E+03   -0.8514253E-03   -0.8514253E-03
  0.4094565E+03   -0.6060454E-03   -0.6060454E-03
  0.4093011E+03   -0.6995000E-03   -0.6995000E-03
  0.4079872E+03   -0.6623411E-03   -0.6623411E-03
  0.4060567E+03   -0.8664964E-03   -0.8664964E-03
  0.4056065E+03   -0.7895236E-03   -0.7895236E-03
  0.4036890E+03   -0.5194255E-03   -0.5194255E-03
  0.4031041E+03   -0.9284198E-03   -0.9284198E-03
  0.4029397E+03   -0.6324042E-03   -0.6324042E-03
  0.4025513E+03   -0.8194854E-03   -0.8194854E-03
  0.4017107E+03   -0.5996343E-03   -0.5996343E-03
  0.4009026E+03   -0.8403769E-03   -0.8403769E-03
  0.4007170E+03   -0.6122446E-03   -0.6122446E-03
  0.4004290E+03   -0.7594788E-03   -0.7594788E-03
  0.3994549E+03   -0.4076233E-03   -0.4076233E-03
  0.3995128E+03   -0.5051767E-03   -0.5051767E-03
  0.3989612E+03   -0.3735165E-03   -0.3735165E-03
  0.3985020E+03   -0.4146516E-03   -0.4146516E-03
  0.3979330E+03   -0.4353013E-03   -0.4353013E-03
  0.3977388E+03   -0.1026493E-02   -0.1026493E-02
  0.3972994E+03   -0.1236720E-02   -0.1236720E-02
  0.3973291E+03   -0.5821195E-03   -0.5821195E-03
  0.3967020E+03   -0.7196166E-03   -0.7196166E-03
  0.3963101E+03   -0.9779850E-03   -0.9779850E-03
  0.3956634E+03   -0.8105155E-03   -0.8105155E-03
  0.3949291E+03   -0.3748962E-03   -0.3748962E-03
  0.3944308E+03   -0.1151126E-02   -0.1151126E-02
  0.3938766E+03   -0.1105725E-02   -0.1105725E-02
  0.3934521E+03   -0.1058580E-02   -0.1058580E-02
  0.3933396E+03   -0.2433451E-02   -0.2433451E-02
  0.3931591E+03   -0.1907118E-02   -0.1907118E-02
  0.3926261E+03   -0.8916612E-03   -0.8916612E-03
  0.3920000E+03   -0.7311628E-03   -0.7311628E-03
  0.3916704E+03   -0.1001723E-02   -0.1001723E-02
  0.3913870E+03   -0.1188088E-02   -0.1188088E-02
  0.3913281E+03   -0.1596747E-02   -0.1596747E-02
  0.3911264E+03   -0.2528568E-02   -0.2528568E-02
  0.3907332E+03   -0.2436101E-02   -0.2436101E-02
  0.3906005E+03   -0.2054356E-02   -0.2054356E-02
  0.3903860E+03   -0.7402668E-03   -0.7402668E-03
  0.3898939E+03   -0.1724320E-02   -0.1724320E-02
  0.3895294E+03   -0.1255414E-02   -0.1255414E-02
  0.3893791E+03   -0.2252940E-02   -0.2252940E-02
  0.3887233E+03   -0.1270049E-02   -0.1270049E-02
  0.3886000E+03   -0.9775572E-03   -0.9775572E-03
  0.3879251E+03   -0.1615022E-02   -0.1615022E-02
  0.3878654E+03   -0.8098558E-03   -0.8098558E-03
  0.3875864E+03   -0.1189874E-02   -0.1189874E-02
  0.3873384E+03   -0.9911897E-03   -0.9911897E-03
  0.3872342E+03   -0.2366627E-02   -0.2366627E-02
